state,year,month,blood_type,donations
Kedah,2023,3,all,2092
Kedah,2023,3,b,589
Kedah,2023,3,o,853
Kedah,2023,4,a,252
Kedah,2023,4,ab,69
Kedah,2023,4,all,1102
Kedah,2023,4,b,324
Kedah,2023,4,o,457
Kedah,2023,5,a,541
Kedah,2023,5,ab,134
Kedah,2023,5,all,2068
Kedah,2023,5,b,572
Kedah,2023,5,o,821
Kedah,2023,6,a,463
Kedah,2023,6,ab,118
Kedah,2023,6,all,1828
Kedah,2023,6,b,506
Kedah,2023,6,o,741
Kedah,2023,7,a,348
Kedah,2023,7,ab,90
Kedah,2023,7,all,1422
Kedah,2023,7,b,393
Kedah,2023,7,o,591
Kedah,2023,8,a,482
Kedah,2023,8,ab,107
Kedah,2023,8,all,1887
Kedah,2023,8,b,530
Kedah,2023,8,o,768
Kedah,2023,9,a,464
Kedah,2023,9,ab,114
Kedah,2023,9,all,1880
Kedah,2023,9,b,542
Kedah,2023,9,o,760
Kedah,2023,10,a,478
Kedah,2023,10,ab,132
Kedah,2023,10,all,1935
Kedah,2023,10,b,549
Kedah,2023,10,o,775
Kedah,2023,11,a,457
Kedah,2023,11,ab,104
Kedah,2023,11,all,1767
Kedah,2023,11,b,479
Kedah,2023,11,o,727
Kedah,2023,12,a,398
Kedah,2023,12,ab,121
Kedah,2023,12,all,1671
Kedah,2023,12,b,513
Kedah,2023,12,o,639
Kedah,2024,1,a,421
Kedah,2024,1,ab,113
Kedah,2024,1,all,1721
Kedah,2024,1,b,495
Kedah,2024,1,o,692
Kedah,2024,2,a,431
Kedah,2024,2,ab,110
Kedah,2024,2,all,1759
Kedah,2024,2,b,505
Kedah,2024,2,o,713
Kedah,2024,3,a,441
Kedah,2024,3,ab,112
Kedah,2024,3,all,1803
Kedah,2024,3,b,494
Kedah,2024,3,o,756
Kedah,2024,4,a,359
Kedah,2024,4,ab,80
Kedah,2024,4,all,1393
Kedah,2024,4,b,402
Kedah,2024,4,o,552
Kedah,2024,5,a,465
Kedah,2024,5,ab,107
Kedah,2024,5,all,1836
Kedah,2024,5,b,528
Kedah,2024,5,o,736
Kedah,2024,6,a,424
Kedah,2024,6,ab,100
Kedah,2024,6,all,1685
Kedah,2024,6,b,481
Kedah,2024,6,o,680
Kedah,2024,7,a,435
Kedah,2024,7,ab,113
Kedah,2024,7,all,1685
Kedah,2024,7,b,470
Kedah,2024,7,o,667
Kedah,2024,8,a,559
Kedah,2024,8,ab,117
Kedah,2024,8,all,2124
Kedah,2024,8,b,591
Kedah,2024,8,o,857
Kedah,2024,9,a,207
Kedah,2024,9,ab,54
Kedah,2024,9,all,903
Kedah,2024,9,b,255
Kedah,2024,9,o,387
Kelantan,2019,1,a,323
Kelantan,2019,1,ab,85
Kelantan,2019,1,all,1211
Kelantan,2019,1,b,305
Kelantan,2019,1,o,498
Kelantan,2019,2,a,202
Kelantan,2019,2,ab,46
Kelantan,2019,2,all,779
Kelantan,2019,2,b,241
Kelantan,2019,2,o,290
Kelantan,2019,3,a,307
Kelantan,2019,3,ab,43
Kelantan,2019,3,all,1103
Kelantan,2019,3,b,291
Kelantan,2019,3,o,462
Kelantan,2019,4,a,233
Kelantan,2019,4,ab,86
Kelantan,2019,4,all,984
Kelantan,2019,4,b,227
Kelantan,2019,4,o,438
Kelantan,2019,5,a,148
Kelantan,2019,5,ab,49
Kelantan,2019,5,all,539
Kelantan,2019,5,b,149
Kelantan,2019,5,o,193
Kelantan,2019,6,a,380
Kelantan,2019,6,ab,101
Kelantan,2019,6,all,1406
Kelantan,2019,6,b,387
Kelantan,2019,6,o,538
Kelantan,2019,7,a,247
Kelantan,2019,7,ab,62
Kelantan,2019,7,all,1005
Kelantan,2019,7,b,251
Kelantan,2019,7,o,445
Kelantan,2019,8,a,155
Kelantan,2019,8,ab,50
Kelantan,2019,8,all,663
Kelantan,2019,8,b,187
Kelantan,2019,8,o,271
Kelantan,2019,9,a,227
Kelantan,2019,9,ab,67
Kelantan,2019,9,all,819
Kelantan,2019,9,b,211
Kelantan,2019,9,o,314
Kelantan,2019,10,a,264
Kelantan,2019,10,ab,74
Kelantan,2019,10,all,1013
Kelantan,2019,10,b,246
Kelantan,2019,10,o,429
Kelantan,2019,11,a,234
Kelantan,2019,11,ab,68
Kelantan,2019,11,all,884
Kelantan,2019,11,b,239
Kelantan,2019,11,o,343
Kelantan,2019,12,a,345
Kelantan,2019,12,ab,71
Kelantan,2019,12,all,1177
Kelantan,2019,12,b,313
Kelantan,2019,12,o,448
Kelantan,2020,1,a,321
Kelantan,2020,1,ab,96
Kelantan,2020,1,all,1226
Kelantan,2020,1,b,337
Kelantan,2020,1,o,472
Kelantan,2020,2,a,239
Kelantan,2020,2,ab,52
Kelantan,2020,2,all,829
Kelantan,2020,2,b,217
Kelantan,2020,2,o,321
Kelantan,2020,3,a,251
Kelantan,2020,3,ab,60
Kelantan,2020,3,all,952
Kelantan,2020,3,b,240
Kelantan,2020,3,o,401
Kelantan,2020,4,a,195
Kelantan,2020,4,ab,61
Kelantan,2020,4,all,814
Kelantan,2020,4,b,215
Kelantan,2020,4,o,343
Kelantan,2020,5,a,253
Kelantan,2020,5,ab,60
Kelantan,2020,5,all,843
Kelantan,2020,5,b,218
Kelantan,2020,5,o,312
Kelantan,2020,6,a,456
Kelantan,2020,6,ab,109
Kelantan,2020,6,all,1788
Kelantan,2020,6,b,499
Kelantan,2020,6,o,724
Kelantan,2020,7,a,247
Kelantan,2020,7,ab,56
Kelantan,2020,7,all,838
Kelantan,2020,7,b,201
Kelantan,2020,7,o,334
Kelantan,2020,8,a,315
Kelantan,2020,8,ab,88
Kelantan,2020,8,all,1186
Kelantan,2020,8,b,318
Kelantan,2020,8,o,465
Kelantan,2020,9,a,282
Kelantan,2020,9,ab,81
Kelantan,2020,9,all,1147
Kelantan,2020,9,b,302
Kelantan,2020,9,o,482
Kelantan,2020,10,a,321
Kelantan,2020,10,ab,80
Kelantan,2020,10,all,1124
Kelantan,2020,10,b,291
Kelantan,2020,10,o,432
Kelantan,2020,11,a,248
Kelantan,2020,11,ab,61
Kelantan,2020,11,all,964
Kelantan,2020,11,b,251
Kelantan,2020,11,o,404
Kelantan,2020,12,a,273
Kelantan,2020,12,ab,61
Kelantan,2020,12,all,1046
Kelantan,2020,12,b,275
Kelantan,2020,12,o,437
Kelantan,2021,1,a,306
Kelantan,2021,1,ab,88
Kelantan,2021,1,all,1202
Kelantan,2021,1,b,318
Kelantan,2021,1,o,490
Kelantan,2021,2,a,205
Kelantan,2021,2,ab,56
Kelantan,2021,2,all,777
Kelantan,2021,2,b,212
Kelantan,2021,2,o,304
Kelantan,2021,3,a,270
Kelantan,2021,3,ab,74
Kelantan,2021,3,all,1013
Kelantan,2021,3,b,252
Kelantan,2021,3,o,417
Kelantan,2021,4,a,267
Kelantan,2021,4,ab,74
Kelantan,2021,4,all,992
Kelantan,2021,4,b,288
Kelantan,2021,4,o,363
Kelantan,2021,5,a,201
Kelantan,2021,5,ab,59
Kelantan,2021,5,all,768
Kelantan,2021,5,b,192
Kelantan,2021,5,o,316
Kelantan,2021,6,a,237
Kelantan,2021,6,ab,61
Kelantan,2021,6,all,926
Kelantan,2021,6,b,261
Kelantan,2021,6,o,367
Kelantan,2021,7,a,278
Kelantan,2021,7,ab,96
Kelantan,2021,7,all,990
Kelantan,2021,7,b,245
Kelantan,2021,7,o,371
Kelantan,2021,8,a,233
Kelantan,2021,8,ab,63
Kelantan,2021,8,all,933
Kelantan,2021,8,b,259
Kelantan,2021,8,o,378
Kelantan,2021,9,a,256
Kelantan,2021,9,ab,92
Kelantan,2021,9,all,1047
Kelantan,2021,9,b,288
Kelantan,2021,9,o,411
Kelantan,2021,10,a,281
Kelantan,2021,10,ab,80
Kelantan,2021,10,all,1079
Kelantan,2021,10,b,268
